t,alpha,amplitude,sigma,q_true,q,dq_da,dq_dA,dq_ds,d2q_da2,d2q_dadA,d2q_dads,d2q_dA2,d2q_dAds,d2q_ds2
0.16582914572864321,1.3265926193042121,121.58455688578059,0.054201697860248761,0.176909327783005,0.176909327783005,-0.077651779429877596,0.0014550312335241541,4.729532274227509,0.061912195103782715,-0.00063866482239866625,-0.98451151453469365,0,0.03889912004754472,32.193724958631257
0.17336683417085427,1.3120883201421216,122.15752699233022,0.053119751570420697,0.17374337806606696,0.17374337806606696,-0.077848182889017098,0.001422289582507475,4.7310634862268346,0.063072171875640459,-0.00063727700458363784,-1.0036702722758741,0,0.038729201570394257,32.747465902506747
0.18090452261306533,1.2972205191148243,122.68080627363703,0.052009835351302727,0.17038711269235066,0.17038711269235066,-0.078002943383298343,0.001388865282742809,4.7296698954649203,0.064255239091073196,-0.00063582027011881842,-1.0233093268172579,0,0.038552647631900042,33.361209029568712
0.18844221105527639,1.2820225589912515,123.15322121519603,0.050881900084388365,0.16688918103768435,0.16688918103768435,-0.078123166673375405,0.0013551345177245896,4.7255393339798406,0.065458708785216646,-0.00063435747682851265,-1.0433306835089848,0,0.038371219910866207,34.038603430634062
0.19597989949748743,1.2665285229604164,123.57371237168593,0.049746058199769252,0.16329935211256344,0.16329935211256344,-0.078216730030544163,0.0013214732241869571,4.7188808309548529,0.06667939721788857,-0.00063295605941887786,-1.0636312572733189,0,0.038186769179203488,34.781187712712232
0.20351758793969849,1.2507731581959083,123.94133674289823,0.048612493013802549,0.15966783202692258,0.15966783202692258,-0.078292202753373202,0.0012882532674158161,4.7099279461501471,0.067913692820971011,-0.00063168757745272011,-1.0841058610377128,0,0.038001267937914363,35.587600112512305
0.21105527638190955,1.2347917979313241,124.25526988852465,0.047491367431252068,0.15604458849538377,0.15604458849538377,-0.078358743641168321,0.0012558387956935659,4.6989428388025738,0.06915767053013222,-0.00063062712520336344,-1.1046500132833572,0,0.037816849482667586,36.452796489831449
0.21859296482412061,1.2186202822213923,124.5148077770601,0.046392732830428302,0.15247869437221884,0.15247869437221884,-0.078425977741995945,0.0012245828194605353,4.6862204533225382,0.070407254953119863,-0.0006298526186733971,-1.1251618663214886,0,0.037635848594916282,37.367379135785377
0.22613065326633167,1.2022948775664912,124.71936836467506,0.045326438948211541,0.14901770313546225,0.14901770313546225,-0.078503856513488554,0.0011948240685419422,4.6720919256471607,0.071658429159676185,-0.00062944398727185697,-1.1455424546877633,0,0.037460836972699606,38.317161789927695
0.23366834170854273,1.1858521955808146,124.86849290051643,0.044302045572878063,0.14570707001143138,0.14570707001143138,-0.07860250678308546,0.0011668841885319877,4.6569261076652122,0.072907478074739102,-0.0006294823054019611,-1.165693516932266,0,0.037294644945986631,39.283099984885638
